Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,SPARK-39079,13442634,Catalog name should not contain dot,chengpan,chengpan,Major,Resolved,Fixed,30/Apr/22 12:03,24/Nov/22 00:38,
Bug,SPARK-32121,13313882,ExternalShuffleBlockResolverSuite failed on Windows,chengpan,chengpan,Minor,Resolved,Fixed,28/Jun/20 19:27,24/Nov/22 00:38,
Bug,SPARK-35531,13380485,Can not insert into hive bucket table if create table with upper case schema,angerszhuuu,opensky,Major,Resolved,Fixed,26/May/21 07:39,23/Nov/22 06:52,
Bug,SPARK-40999,13494356,Hints on subqueries are not properly propagated,fred-db,fred-db,Major,Resolved,Fixed,02/Nov/22 15:52,18/Nov/22 13:51,
Bug,SPARK-32380,13318475,sparksql cannot access hive table while data in hbase,attilapiros,meimile,Major,Resolved,Fixed,21/Jul/20 11:10,05/Nov/22 12:31,
Bug,SPARK-29683,13265491,Job failed due to executor failures all available nodes are blacklisted,,uncleGen,Major,Resolved,Fixed,31/Oct/19 09:35,01/Nov/22 03:08,
Bug,SPARK-40320,13479950,"When the Executor plugin fails to initialize, the Executor shows active but does not accept tasks forever, just like being hung",choko111,miracle,Major,Resolved,Fixed,03/Sep/22 02:26,26/Oct/22 06:50,
Bug,SPARK-40861,13487361,CVE-2022-42889 upgrade commons text library to 1.10.0 in spark 3.0.0,,rajesh.katkar,Major,Closed,Invalid,20/Oct/22 19:35,21/Oct/22 16:07,
Bug,SPARK-39203,13445307,Fix remote table location based on database location,yumwang,yumwang,Major,Resolved,Fixed,17/May/22 03:25,20/Oct/22 12:48,
Bug,SPARK-40612,13483837,On Kubernetes for long running app Spark using an invalid principal to renew the delegation token,attilapiros,attilapiros,Major,Resolved,Fixed,29/Sep/22 12:44,16/Oct/22 08:49,
Bug,SPARK-31404,13297532,file source backward compatibility after calendar switch,,cloud_fan,Blocker,Resolved,Fixed,10/Apr/20 03:33,20/Sep/22 17:18,
Bug,SPARK-39422,13449103,SHOW CREATE TABLE should suggest 'AS SERDE' for Hive tables with unsupported serde configurations,joshrosen,joshrosen,Minor,Resolved,Fixed,09/Jun/22 01:52,17/Jul/22 06:06,
Bug,SPARK-33136,13335291,Handling nullability for complex types is broken during resolution of V2 write command,kabhwan,kabhwan,Major,Resolved,Fixed,13/Oct/20 22:04,21/Jun/22 15:25,
Bug,SPARK-39283,13446673,Spark tasks stuck forever due to deadlock between TaskMemoryManager and UnsafeExternalSorter,sandeep.pal,sandeep.pal,Critical,Resolved,Fixed,25/May/22 03:05,02/Jun/22 16:31,
Bug,SPARK-27984,13238402,Jenkins job spark-master-package fails due to invalid gpg option,,viirya,Major,Resolved,Invalid,09/Jun/19 13:30,17/May/22 04:01,
Bug,SPARK-31692,13304467,Hadoop confs passed via spark config are not set in URLStream Handler Factory,karup1990,karup1990,Major,Resolved,Fixed,12/May/20 22:15,03/May/22 21:22,
Bug,SPARK-31557,13300909,Legacy parser incorrectly interprets pre-Gregorian dates,bersprockets,bersprockets,Major,Resolved,Fixed,25/Apr/20 00:05,01/May/22 01:24,
Bug,SPARK-38536,13433482,Spark 3 can not read mixed format partitions,,songhuicheng,Major,Resolved,Duplicate,12/Mar/22 20:17,16/Apr/22 20:25,
Bug,SPARK-29160,13257529,Event log file is written without specific charset which should be ideally UTF-8,,kabhwan,Major,Resolved,Fixed,18/Sep/19 22:51,06/Mar/22 23:42,
Bug,SPARK-38239,13429094,AttributeError: 'LogisticRegressionModel' object has no attribute '_call_java',zero323,zero323,Minor,Resolved,Fixed,17/Feb/22 12:44,06/Mar/22 16:56,
Bug,SPARK-30223,13273917,queries in thrift server may read wrong SQL configs,,cloud_fan,Major,Resolved,Duplicate,11/Dec/19 15:43,25/Feb/22 10:19,
Bug,SPARK-33267,13337655,"Query with having null in ""in"" condition against data source V2 source table supporting push down filter fails with NPE",kabhwan,kabhwan,Critical,Resolved,Fixed,28/Oct/20 12:14,20/Feb/22 16:25,
Bug,SPARK-35746,13383526,Task id in the Stage page timeline is incorrect,shahid,shahid,Minor,Resolved,Fixed,12/Jun/21 01:26,11/Jan/22 01:23,
Bug,SPARK-37830,13421102,An outer-join using joinWith on DataFrames returns Rows with null fields instead of null values,,cdegroc,Major,Resolved,Duplicate,06/Jan/22 16:04,06/Jan/22 16:06,
Bug,SPARK-37808,13420569,"Invalid call to nullable on unresolved object, tree: 'corp_name",,yishou,Major,Resolved,Invalid,04/Jan/22 10:52,05/Jan/22 06:29,
