LinesCount,LinesAvgLength,LineCommentCount,LineCodeCount,LineBlankCount,TypesCount,ClassCount,ObjectCount,TraitCount,MaxChildren,MethodCount,PrivateMethodCount,ProtectedMethodCount,MethodOverrideCount,FinalMethodCount,VarLocalCount,VarFieldCount,MagicNumbersCount,File
511,47,116,406,46,1,0,1,0,1,14,5,0,0,0,2,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveUtils.scala
63,37,33,24,10,1,1,0,0,1,4,0,0,1,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveContext.scala
357,41,50,303,34,2,1,1,0,1,12,9,0,0,0,0,0,1,sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveMetastoreCatalog.scala
501,42,121,369,57,5,1,3,1,2,18,4,0,3,0,2,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/TableReader.scala
312,37,61,241,34,3,2,1,0,1,20,2,0,2,0,1,3,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveShim.scala
198,46,54,165,14,1,1,0,0,1,5,1,0,4,0,1,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveSessionCatalog.scala
538,38,112,379,97,9,9,0,0,5,34,1,0,29,0,1,2,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/hiveUDFs.scala
1384,32,100,1187,158,19,13,6,0,2,104,4,2,57,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/client/HiveShim.scala
324,44,74,257,23,2,1,1,0,2,11,1,4,1,0,1,1,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/client/IsolatedClientLoader.scala
1273,40,230,1091,108,2,1,1,0,2,70,15,1,34,0,4,0,2,sql/hive/src/main/scala/org/apache/spark/sql/hive/client/HiveClientImpl.scala
306,35,84,185,56,1,0,0,1,0,53,0,0,0,7,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/client/HiveClient.scala
27,41,23,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/package.scala
146,39,35,109,19,1,1,0,0,1,7,3,0,4,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/security/HiveDelegationTokenProvider.scala
1442,42,324,1186,166,2,1,1,0,1,72,27,0,39,0,4,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveExternalCatalog.scala
273,40,54,204,35,7,3,3,1,4,10,4,0,4,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveStrategies.scala
267,40,42,223,29,1,0,0,1,1,10,6,3,0,0,2,1,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/SaveAsHiveFile.scala
176,36,43,126,22,3,2,0,1,2,8,0,0,6,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/CreateHiveTableAsSelectCommand.scala
217,39,44,161,30,1,1,0,0,1,9,2,0,6,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/HiveTableScanExec.scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/InsertIntoHiveTable.scala
127,39,22,87,22,2,1,1,0,1,5,1,0,0,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/HiveOptions.scala
468,37,60,389,56,4,3,1,0,3,16,3,0,6,0,5,3,1,sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/ScriptTransformationExec.scala
118,43,37,78,9,1,1,0,0,1,4,3,0,1,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/PruneHiveTablePartitions.scala
163,39,32,118,22,2,2,0,0,1,9,1,0,7,0,1,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/HiveFileFormat.scala
135,35,34,90,14,1,1,0,0,1,1,0,0,1,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/InsertIntoHiveDirCommand.scala
1068,42,223,810,66,2,1,0,1,0,40,29,1,0,0,2,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveInspectors.scala
128,37,31,89,14,2,2,0,0,1,7,1,3,6,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveSessionStateBuilder.scala
139,42,41,93,11,1,0,1,0,1,6,0,0,0,0,0,0,1,sql/hive/src/main/scala/org/apache/spark/sql/hive/orc/OrcFileOperator.scala
382,35,41,304,58,4,3,1,0,2,18,1,0,11,0,3,1,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/orc/OrcFileFormat.scala
262,47,97,177,27,1,0,1,0,1,7,3,0,0,0,0,0,0,sql/hive/src/main/scala/org/apache/spark/sql/hive/orc/OrcFilters.scala
101,40,22,71,15,1,1,0,0,1,1,1,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/QueryPartitionSuite.scala
351,38,43,291,45,2,1,1,0,1,9,7,0,2,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveSchemaInferenceSuite.scala
52,36,18,30,7,1,1,0,0,1,0,0,0,0,0,0,0,3,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveShimSuite.scala
432,38,58,353,64,1,1,0,0,1,2,0,0,0,0,0,1,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/CachedTableSuite.scala
1561,41,93,1309,234,1,1,0,0,1,19,6,0,0,0,6,3,85,sql/hive/src/test/scala/org/apache/spark/sql/hive/StatisticsSuite.scala
535,44,58,464,47,1,1,0,0,1,3,3,0,0,0,0,2,14,sql/hive/src/test/scala/org/apache/spark/sql/hive/PartitionProviderCompatibilitySuite.scala
129,38,29,93,19,1,1,0,0,1,3,1,0,0,0,0,0,3,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveMetadataCacheSuite.scala
380,35,70,282,39,1,1,0,0,1,1,0,0,1,0,0,0,9,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveParquetSourceSuite.scala
341,37,19,296,30,1,1,0,0,1,19,15,0,2,0,1,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/CompressionCodecSuite.scala
254,39,20,200,39,1,1,0,0,1,6,0,0,0,0,0,0,3,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveInspectorSuite.scala
850,33,52,706,129,3,3,0,0,1,5,4,0,0,0,0,2,55,sql/hive/src/test/scala/org/apache/spark/sql/hive/InsertSuite.scala
78,40,20,49,14,1,1,0,0,1,2,0,1,2,0,0,0,2,sql/hive/src/test/scala/org/apache/spark/sql/hive/OptimizeHiveMetadataOnlyQuerySuite.scala
847,39,85,746,84,14,1,13,0,7,17,0,0,3,0,1,3,7,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveSparkSubmitSuite.scala
40,41,16,19,6,1,1,0,0,1,1,0,0,1,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveExternalSessionCatalogSuite.scala
315,30,16,250,50,1,1,0,0,1,2,2,0,0,0,0,0,1,sql/hive/src/test/scala/org/apache/spark/sql/hive/MultiDatabaseSuite.scala
53,36,21,29,7,1,1,0,0,1,2,0,0,2,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveSessionStateSuite.scala
59,40,20,37,7,1,1,0,0,1,3,0,2,2,0,0,1,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/client/HiveVersionSuite.scala
118,38,22,81,19,1,1,0,0,1,2,2,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/client/FiltersSuite.scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/client/VersionsSuite.scala
29,40,17,10,4,1,1,0,0,1,1,0,0,1,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/client/HivePartitionFilteringSuites.scala
341,34,20,284,42,1,1,0,0,1,7,6,0,1,0,0,0,10,sql/hive/src/test/scala/org/apache/spark/sql/hive/client/HivePartitionFilteringSuite.scala
63,36,17,39,9,1,1,0,0,1,3,1,0,2,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/client/HiveClientUserNameSuite.scala
28,38,16,9,4,1,1,0,0,1,1,0,0,1,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/client/HiveClientUserNameSuites.scala
60,37,19,38,7,1,0,1,0,0,2,1,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/client/HiveClientBuilder.scala
31,39,16,12,4,1,0,0,1,0,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/client/HiveClientVersions.scala
252,29,26,195,36,6,6,0,0,1,3,0,1,2,0,0,5,43,sql/hive/src/test/scala/org/apache/spark/sql/hive/ParquetPartitioningTest.scala
190,38,42,155,20,2,2,0,0,1,0,0,0,0,0,0,0,6,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveUDFDynamicLoadSuite.scala
1414,33,62,1186,211,1,1,0,0,1,7,1,0,1,0,0,2,64,sql/hive/src/test/scala/org/apache/spark/sql/hive/MetastoreDataSourcesSuite.scala
307,42,48,251,34,2,1,1,0,1,8,5,0,2,0,0,1,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveExternalCatalogVersionsSuite.scala
174,29,24,122,30,1,1,0,0,1,5,0,2,2,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/ErrorPositionSuite.scala
684,36,107,541,90,12,9,3,0,3,32,3,1,7,0,0,1,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/test/TestHive.scala
43,35,16,21,7,1,0,0,1,1,1,0,0,1,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/test/TestHiveSingleton.scala
659,35,57,570,71,1,1,0,0,1,5,1,0,2,0,0,1,6,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveParquetMetastoreSuite.scala
49,38,16,27,7,1,1,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/TestHiveSuite.scala
103,36,21,73,15,2,1,1,0,1,2,0,0,1,0,1,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/security/HiveHadoopDelegationTokenManagerSuite.scala
65,47,19,41,9,1,1,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveSharedStateSuite.scala
50,37,17,28,7,1,1,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveVariableSubstitutionSuite.scala
425,40,32,351,56,2,2,0,0,1,8,5,0,3,0,0,0,9,sql/hive/src/test/scala/org/apache/spark/sql/hive/PartitionedTablePerfStatsSuite.scala
109,38,18,82,12,2,2,0,0,1,0,0,0,0,0,0,0,1,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveParquetSuite.scala
381,37,20,321,45,2,2,0,0,2,2,0,0,1,0,0,0,8,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveMetastoreCatalogSuite.scala
127,36,24,93,16,1,1,0,0,1,3,1,0,2,0,0,1,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/Hive_2_1_DDLSuite.scala
187,44,30,150,22,1,1,0,0,1,8,6,0,2,0,0,3,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveSerDeReadWriteSuite.scala
417,32,20,357,45,11,6,5,0,3,32,0,3,10,0,0,0,62,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/UDAQuerySuite.scala
31,36,16,10,6,1,1,0,0,1,3,0,0,1,0,0,1,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/TestUncaughtExceptionHandler.scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/WindowQuerySuite.scala
